#,,This is a database of all constellation lines. It is based on the modern constellations in SkySafari.,,
#,,"For each constellation, a number “from” is assigned to each star touching the lines.",,
#,,Two “to” columns list the stars defining lines touching the “from” star.,,
#,,All of the constellation lines can be defined by 1 “from” column and up to 2 “to” columns.,,
#,,"There might be a theorem for this, analogous to the 4 color theorem, but I don't know about it.",,
#,,The “to” columns are most easily assigned by first going around a closed loop and then following appendages back to the loop.,,
#,id,The database primary key in https://github.com/astronexus/HYG-Database/blob/master/hygdata_v3.csv.,,
#,conx,"The constellation index, ordered in an alphabetic sorting of constellation abbreviations.",,
#,from,The number assigned to each star touching lines in a constellation.,,
#,to,The number assigned to each star to end lines in a constellation (2 columns). ,,
#,,,,
id,conx,from,to,to
27585,47,7,8,
24785,47,11,2,
24270,47,10,2,
28837,47,6,7,
74556,48,1,2,
72396,48,2,3,
73486,48,6,2,
76235,48,5,3,
76365,48,4,5,
76100,48,3,1,
53075,49,1,2,
51089,49,2,3,
49451,49,3,,
71634,50,1,2,
73046,50,2,3,
76065,50,11,3,
74912,50,3,1,
75035,50,10,3,
74167,50,8,1,
78148,50,13,3,
69773,50,5,1,
71310,50,7,1,
78678,50,12,13,
74682,50,9,1,
70353,50,4,1,
70895,50,6,7,
45728,51,1,2,
45557,51,2,3,
44120,51,3,4,
40959,51,4,5,
33362,51,5,6,
29987,51,6,,
90979,52,1,2,
92902,52,5,6,
92133,52,6,1,
92502,52,7,5,
89548,52,8,6,
94418,52,4,5,
94186,52,3,4,
91633,52,2,3,
29198,53,1,2,
25853,53,2,3,
23412,53,4,,
22818,53,3,4,
103406,54,2,3,
104802,54,1,2,
102500,54,3,,
41190,55,5,,
37340,55,7,4,
29578,55,6,2,
34677,55,3,4,
39750,55,4,5,
30346,55,1,2,
32492,55,2,3,
61392,56,3,4,
62127,56,2,3,
63411,56,4,5,
61008,56,5,3,
59746,56,1,2,3
79759,57,1,2,
80339,57,4,1,
78400,57,2,3,
78673,57,3,4,
106746,58,1,2,
112050,58,2,3,
70415,58,3,1,
85769,59,1,2,
83755,59,3,4,
81130,59,4,5,
86475,59,2,3,5
82745,59,5,1,
79640,59,6,7,
84711,59,10,11,
87775,59,12,2,
80637,59,7,5,
80648,59,9,4,
84636,59,11,3,
80729,59,8,9,
24378,60,13,5,
27919,60,2,3,
25273,60,6,1,17
26246,60,4,5,
26662,60,3,4,
27298,60,12,3,
25865,60,5,6,
22396,60,17,18,
26142,60,1,2,
22496,60,16,17,
22744,60,15,16,
22904,60,19,,
28543,60,11,2,
22456,60,18,19,
27844,60,7,8,10
28966,60,10,9,
29353,60,9,11,
23069,60,14,15,
28645,60,8,9,
100425,61,7,8,
102064,61,9,6,
98924,61,6,7,
86661,61,1,2,
98184,61,10,6,
91507,61,11,6,
105519,61,8,9,
92319,61,4,5,
88589,61,2,3,4
89819,61,3,4,
92723,61,5,6,
676,62,9,10,
106972,62,14,16,
113521,62,10,5,
113603,62,5,6,
1065,62,8,5,9
111804,62,2,3,
111676,62,16,6,
112389,62,3,4,
109081,62,15,16,
108830,62,7,4,
112084,62,4,5,
105162,62,11,12,
107011,62,12,7,
112090,62,6,7,
109064,62,1,2,3
107005,62,13,7,
15824,63,3,4,8
14540,63,6,7,
18201,63,13,14,
18485,63,5,6,
14292,63,2,3,
17316,63,11,3,
14318,63,16,6,
13234,63,1,2,
17487,63,4,5,
14632,63,7,8,
17406,63,12,13,
13497,63,18,1,
18567,63,14,5,
14596,63,8,18,
12744,63,17,8,
19762,63,10,11,
13221,63,15,16,
19119,63,9,10,
2076,64,2,3,
5154,64,5,6,
6853,64,4,5,
763,64,1,2,3
2069,64,3,9,
7068,64,7,5,
5337,64,8,5,9
8818,64,6,7,
3238,64,9,4,
32521,65,1,2,
27253,65,2,,
113008,66,1,,
111601,66,2,,
112886,66,6,,
110841,66,4,,
107037,66,7,,
112588,66,5,,
108939,66,3,,
7083,67,13,14,
114609,67,2,3,
9467,67,11,12,
117900,67,6,7,
116405,67,5,6,
8183,67,12,13,
4896,67,8,9,
115465,67,1,2,5
3778,67,7,8,
7869,67,10,11,
116562,67,4,5,
5559,67,16,14,
5730,67,15,16,
6993,67,9,10,
115376,67,3,4,
6692,67,14,15,
42709,69,2,3,
42396,69,3,,
43286,69,1,2,
19730,70,4,1,
17398,70,3,4,
19871,70,1,2,
18550,70,2,3,
4567,71,1,2,
115865,71,4,,
114740,71,3,4,
117085,71,2,3,
80519,72,6,7,
85665,72,15,,
85965,72,12,13,
78165,72,1,2,
82144,72,8,9,
86403,72,14,15,
78580,72,2,5,
85436,72,16,15,
81020,72,7,8,
78029,72,3,4,
79870,72,5,6,
86804,72,13,14,
82263,72,9,10,
83885,72,11,12,
82477,72,10,11,
77868,72,4,5,
90835,73,2,3,
91888,73,1,2,
90315,73,3,4,
91441,73,4,1,
76835,74,6,7,
79352,74,9,10,
89684,74,13,,
77280,74,8,9,
85998,74,11,12,
76997,74,3,4,
77386,74,7,8,
76044,74,4,5,
77836,74,2,3,
77214,74,1,2,3
86298,74,12,13,
84622,74,10,11,
77022,74,5,6,
49500,77,2,3,
48300,77,3,1,
51290,77,1,2,
98026,78,1,2,
97056,78,2,3,
96450,78,3,,
96530,78,4,2,
89906,79,13,16,
92564,79,1,2,
93213,79,5,6,
89653,79,16,14,6
90217,79,14,15,
93846,79,7,8,
88361,79,11,12,16
89364,79,12,13,
91754,79,6,1,
93569,79,2,3,5
92793,79,9,10,
93388,79,8,9,
89064,79,15,11,
94873,79,10,1,
94946,79,17,4,
95052,79,4,5,
97721,79,18,3,
98101,79,3,4,
21368,80,7,3,
25364,80,1,3,
26386,80,2,7,
20842,80,6,7,
18677,80,8,5,
20837,80,3,4,
15861,80,10,9,
20155,80,5,6,
16044,80,9,8,
20405,80,4,5,
18860,80,14,9,
21349,80,11,12,
19810,80,13,8,
21536,80,12,5,
16811,80,15,9,
90143,81,1,2,
90288,81,2,,
82022,82,1,2,
77716,82,2,3,
74717,82,3,1,
10041,83,1,2,
8777,83,2,3,
10645,83,3,1,
109784,84,4,3,
114634,84,3,1,
1595,84,2,3,
2478,84,1,2,
110492,84,5,4,
62757,85,3,4,
53905,85,7,8,
67088,85,1,2,
65173,85,2,3,
53754,85,6,7,
57828,85,5,6,
54380,85,13,14,
50655,85,11,12,
44000,85,10,11,
59592,85,4,5,7
41586,85,9,10,
55055,85,12,13,
46600,85,8,9,
57226,85,14,1,
11734,86,1,2,
72380,86,5,6,
74868,86,6,7,
81830,86,3,4,
76819,86,4,5,
85560,86,2,3,
79580,86,7,4,
39840,87,7,1,
40921,87,8,1,
42794,87,1,2,4
44689,87,6,7,
52575,87,3,4,
46568,87,2,3,
46518,87,5,6,
50050,87,4,5,
65269,88,1,2,4
63405,88,12,5,
66040,88,4,5,
62890,88,5,6,10
118838,88,10,11,
57584,88,8,9,
71994,88,14,3,
71731,88,13,2,
59945,88,9,10,
57208,88,7,8,
69479,88,2,3,
58773,88,6,7,
68302,88,3,4,
64034,88,11,1,
41195,89,2,3,
34389,89,5,3,
37397,89,6,3,
35132,89,4,3,
44254,89,1,2,
39681,89,3,1,
95473,90,1,2,
96770,90,2,,
